parameter,param_type,participant,mean,2.5%,50%,97.5%,task,feedback,frame,time_pressure,task_label
gamma[13],gamma,13,0.3518180402072005,-0.20206574260732005,0.34740822220394946,0.905283930792528,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[14],gamma,14,0.5108685370374094,-0.06933736140437369,0.5080729333670261,1.0995109229671938,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[15],gamma,15,0.44622137536954054,-0.12393281533615146,0.44525545940610006,1.035802222475524,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[16],gamma,16,1.1785576872164596,0.5098337220112809,1.167364465886266,1.9041645324759917,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[17],gamma,17,0.5253650023519455,-0.03231394434573398,0.524315418246506,1.1071067951294955,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[18],gamma,18,-0.5820361593567671,-1.1897639929093526,-0.5781355189905795,-0.004743044735634217,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[19],gamma,19,-0.33885817345293406,-0.9088985843553853,-0.3354010109592683,0.22028641138970476,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[20],gamma,20,-0.009780436054084978,-0.5803652745240315,-0.01014591560689869,0.5499480529444875,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[21],gamma,21,-0.7457714410822459,-1.367987692393432,-0.7389213160954144,-0.1701541542461829,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[22],gamma,22,0.2655829703297861,-0.33425930077068416,0.2654456886372355,0.8709883657342117,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[23],gamma,23,0.3386022646202175,-0.5099021604765536,0.33427892389178415,1.1619141186152113,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[24],gamma,24,0.3533073967343111,-0.19779463420793958,0.3490645824351468,0.9262206551908485,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[25],gamma,25,0.007686154773542186,-0.5259177051873415,0.012762258331303913,0.5341562021230439,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[26],gamma,26,-0.14990281284248985,-0.7434828385180491,-0.14519553807839028,0.43215293725230364,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[27],gamma,27,0.08764312895646482,-0.4996151068223039,0.08899724487377944,0.6612994610089974,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[28],gamma,28,-0.23290257070333106,-0.8033427696249714,-0.23237865858643897,0.32033670570045036,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[29],gamma,29,0.30992346952908006,-0.25247535914515923,0.30582991938720233,0.8935123154395319,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[30],gamma,30,0.4385207571043943,-0.14450635881757204,0.4382918037316973,1.0302950532028379,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[31],gamma,31,-0.11684694479634121,-0.6758075987383032,-0.1132837524819642,0.41582718695891385,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[32],gamma,32,-0.012367707012440086,-0.5804713268748768,-0.010386512897327858,0.5390905326172294,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[33],gamma,33,0.37321285642774216,-0.19232367360629743,0.3760864678879774,0.9347868285432107,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[34],gamma,34,-0.03411662747417596,-0.6005728293484566,-0.033341471039592646,0.5149940683304789,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[35],gamma,35,0.7088732569045836,-0.13936834477290935,0.7051641549315926,1.5988263275413452,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[36],gamma,36,0.05431352040217052,-0.5006572971437541,0.05697082573246958,0.60368514022569,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[37],gamma,37,0.3007661354163875,-0.26445867957151614,0.3013786787088142,0.8771879943255053,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[38],gamma,38,0.18249467394671404,-0.382684255819979,0.17995472978691981,0.7598505263136885,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[39],gamma,39,-0.14788207760623628,-0.7315491126882175,-0.1472214844091138,0.432028733543868,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[40],gamma,40,-0.0020729341767696547,-0.564947664363397,0.0012058973055427448,0.5468131791752564,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[41],gamma,41,-0.04656973692456854,-0.6093683686130706,-0.045125638184877595,0.49425850681466843,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[42],gamma,42,0.8072280576292749,-0.20981467120873157,0.7916336245385942,1.9227805132975127,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[43],gamma,43,0.07096785740134565,-0.588464559542459,0.0726198107707492,0.7370624634525192,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[44],gamma,44,-0.05482072451073156,-0.6143194524974607,-0.05721321459243746,0.5133840376891333,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[45],gamma,45,0.7857497471225482,0.18005711384189985,0.7773013582797695,1.44061999547271,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[46],gamma,46,0.22838023833113663,-0.3373368753025954,0.22645560288681435,0.8085257983721688,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[47],gamma,47,0.16638512701923797,-0.38076841016301854,0.16400624016491439,0.7247781207502125,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[48],gamma,48,0.5728196551890165,-0.0962514399431636,0.568487879650228,1.2671813827796383,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[49],gamma,49,0.47424038002119556,-0.31165858018356857,0.465116657263584,1.2601136394993302,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[50],gamma,50,0.1685374762954983,-0.41576772330591966,0.17395031377943573,0.7333611746804194,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[51],gamma,51,-0.11785506303224176,-0.6956084181642245,-0.11660212752995122,0.43646786181120795,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[52],gamma,52,0.1837078153985778,-0.36595120363678463,0.18474912331734986,0.7273544151298503,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[53],gamma,53,-0.6141742944048654,-1.2555552498717066,-0.6070797494409776,-0.026009358227451075,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[54],gamma,54,-0.38886706828960926,-0.9795484831954462,-0.379958782159004,0.18151017365394034,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[55],gamma,55,0.7552639346869757,0.11258398991080187,0.7520178816301027,1.4375179556150803,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[56],gamma,56,0.8457946966695565,0.07422746434309241,0.8369584531880936,1.6568636296333636,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
alpha[1],alpha,1,2.0326575187086813,0.7969644278158483,1.9953905413540558,3.469002247337187,PartialtickTimelimited,Partial,Accept,TP,Partial | Accept | TP
alpha[2],alpha,2,1.6478357122974054,0.042152830291944485,1.7446742831650832,2.773055224551218,PartialtickTimelimited,Partial,Accept,TP,Partial | Accept | TP
alpha[3],alpha,3,2.056748137203225,0.7404548501198382,2.0068005734133685,3.639946387428933,PartialtickTimelimited,Partial,Accept,TP,Partial | Accept | TP
alpha[4],alpha,4,2.107500001721542,0.789791876125223,2.03890328943309,3.7442579964465557,PartialtickTimelimited,Partial,Accept,TP,Partial | Accept | TP
alpha[5],alpha,5,2.233688106055048,1.0948024909317273,2.118581297588217,3.939373435529046,PartialtickTimelimited,Partial,Accept,TP,Partial | Accept | TP
alpha[6],alpha,6,1.9473367908717838,0.4775031077921102,1.9392717102936152,3.408984766451104,PartialtickTimelimited,Partial,Accept,TP,Partial | Accept | TP
alpha[7],alpha,7,1.7223750882075624,-0.017154106006413195,1.8037304595025412,2.9791897463192107,PartialtickTimelimited,Partial,Accept,TP,Partial | Accept | TP
alpha[8],alpha,8,1.8920068783868327,0.4416431976741025,1.9073539456840494,3.2156736965487123,PartialtickTimelimited,Partial,Accept,TP,Partial | Accept | TP
alpha[9],alpha,9,2.0453523276235597,0.8373633543713829,1.9916902425028078,3.6038683917361145,PartialtickTimelimited,Partial,Accept,TP,Partial | Accept | TP
alpha[10],alpha,10,2.0552111923598257,0.7298037664135211,2.007497556033684,3.6256249924909536,PartialtickTimelimited,Partial,Accept,TP,Partial | Accept | TP
alpha[11],alpha,11,1.9383034098903384,0.5371456067957113,1.9368275128550705,3.324796560642032,PartialtickTimelimited,Partial,Accept,TP,Partial | Accept | TP
alpha[12],alpha,12,2.1548858903523325,0.9212774785907585,2.066120887658945,3.822047173122857,PartialtickTimelimited,Partial,Accept,TP,Partial | Accept | TP
alpha[13],alpha,13,1.8842757468545472,0.6567667302317906,1.8912137850588193,3.0411134978735013,PartialtickTimelimited,Partial,Accept,TP,Partial | Accept | TP
alpha[14],alpha,14,2.0886234007092117,0.7572925298044345,2.0207767093897964,3.719835454775958,PartialtickTimelimited,Partial,Accept,TP,Partial | Accept | TP
