task,participant_id,acc_ppc_mean,acc_ppc_median,acc_ppc_lo10,acc_ppc_hi90
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_15h13.11.612.csv,0.52560416666666665,0.525,0.425,0.625
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_15h27.22.142.csv,0.5495,0.55,0.45,0.65
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_15h50.44.307.csv,0.51675,0.525,0.425,0.625
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_16h07.06.683.csv,0.517875,0.525,0.425,0.625
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_10h13.21.731.csv,0.6422291666666666,0.65,0.55,0.725
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_10h13.27.260.csv,0.505125,0.5,0.4,0.6
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_10h46.04.96.csv,0.5146458333333334,0.525,0.425,0.6
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_13h54.35.383.csv,0.4969166666666667,0.5,0.4,0.6
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_14h36.35.682.csv,0.5648333333333333,0.575,0.475,0.675
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_14h36.55.458.csv,0.5801875,0.575,0.475,0.675
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_14h37.00.325.csv,0.5224166666666666,0.525,0.425,0.625
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_14h37.04.211.csv,0.5020416666666667,0.5,0.4,0.6
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_14h52.03.786.csv,0.622875,0.625,0.525,0.725
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_15h10.02.548.csv,0.504,0.5,0.4,0.6
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_15h10.12.614.csv,0.6054166666666667,0.6,0.5,0.7
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_16h15.23.649.csv,0.5043125,0.5,0.4,0.6
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_16h15.51.955.csv,0.617,0.625,0.525,0.725
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_17h32.04.772.csv,0.7627916666666666,0.775,0.675,0.85
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-03_16h10.01.36.csv,0.5029791666666666,0.5,0.4,0.6
