model_id,model_label,task,feedback,time_pressure,frame,parameter,mean,median,q025,q975
modelC_hybrid,Model C: Hybrid RL + BMT features,FulltickNoTimelimited,Full,No TP,Accept,beta_mu,0.042947288643768525,0.03403430250956315,-1.2784480323678165,1.3880874606622822
modelC_hybrid,Model C: Hybrid RL + BMT features,FulltickNoTimelimited,Full,No TP,Accept,beta_sigma,0.0135727263237733,0.024913588743464617,-1.967481859863634,1.94380169573312
modelC_hybrid,Model C: Hybrid RL + BMT features,FulltickNoTimelimited,Full,No TP,Accept,gamma,-0.06587562651959213,-0.06613883345064611,-0.1519850378399711,0.02271256182487813
modelC_hybrid,Model C: Hybrid RL + BMT features,FulltickTimelimited,Full,TP,Accept,alpha,0.7978675993007467,0.8042256478387264,0.6242118055062346,0.9226470737279292
modelC_hybrid,Model C: Hybrid RL + BMT features,FulltickTimelimited,Full,TP,Accept,beta_Q,2.535077985452645,2.4942385166031604,1.975015403746265,3.3439226400972744
modelC_hybrid,Model C: Hybrid RL + BMT features,FulltickTimelimited,Full,TP,Accept,beta_mu,-0.5134216877017025,-0.5147258613891671,-1.7820214525080325,0.7538188728520522
modelC_hybrid,Model C: Hybrid RL + BMT features,FulltickTimelimited,Full,TP,Accept,beta_sigma,0.04733885267760652,0.03958346498258034,-1.8925252268157104,2.0105736033165456
modelC_hybrid,Model C: Hybrid RL + BMT features,FulltickTimelimited,Full,TP,Accept,gamma,0.1077285084816377,0.10867115195618031,0.013344944116421805,0.20001315428899272
modelC_hybrid,Model C: Hybrid RL + BMT features,PartialcrossNoTimelimited,Partial,No TP,Reject,alpha,0.7600247865394413,0.7651372155651379,0.5956739466466019,0.895461049884869
modelC_hybrid,Model C: Hybrid RL + BMT features,PartialcrossNoTimelimited,Partial,No TP,Reject,beta_Q,4.56902610641212,4.387663937129651,3.244524161001142,6.93848601659468
modelC_hybrid,Model C: Hybrid RL + BMT features,PartialcrossNoTimelimited,Partial,No TP,Reject,beta_mu,0.5589355876369396,0.5670819560240474,-0.5711537531882407,1.6284781322413597
modelC_hybrid,Model C: Hybrid RL + BMT features,PartialcrossNoTimelimited,Partial,No TP,Reject,beta_sigma,0.9067344382791918,0.9031354619580363,0.06246065853505123,1.7313897690694546
modelC_hybrid,Model C: Hybrid RL + BMT features,PartialcrossNoTimelimited,Partial,No TP,Reject,gamma,0.09880918088932131,0.09933205512550689,-0.02055741766786425,0.21767106459207192
modelC_hybrid,Model C: Hybrid RL + BMT features,PartialcrossTimelimited,Partial,TP,Reject,alpha,0.44170142819803854,0.4281773507599089,0.28802899962900375,0.6968067199230831
modelC_hybrid,Model C: Hybrid RL + BMT features,PartialcrossTimelimited,Partial,TP,Reject,beta_Q,5.026354871022314,4.970767679683997,2.696331353307456,7.637290983421738
modelC_hybrid,Model C: Hybrid RL + BMT features,PartialcrossTimelimited,Partial,TP,Reject,beta_mu,-0.2885471326115512,-0.29661095373721036,-1.3491409986280267,0.8019823546013389
modelC_hybrid,Model C: Hybrid RL + BMT features,PartialcrossTimelimited,Partial,TP,Reject,beta_sigma,0.8732793896581689,0.8677847311799078,-0.014268915870270911,1.785999860052296
modelC_hybrid,Model C: Hybrid RL + BMT features,PartialcrossTimelimited,Partial,TP,Reject,gamma,0.3604169562472587,0.3608196763622634,0.24448487612845773,0.4738950955692548
modelC_hybrid,Model C: Hybrid RL + BMT features,PartialtickNoTimelimited,Partial,No TP,Accept,alpha,0.632667504626618,0.6344013747716468,0.49290481574475736,0.7702503701691827
modelC_hybrid,Model C: Hybrid RL + BMT features,PartialtickNoTimelimited,Partial,No TP,Accept,beta_Q,5.91100217860624,5.870225152364567,4.545634361365054,7.554178051222982
modelC_hybrid,Model C: Hybrid RL + BMT features,PartialtickNoTimelimited,Partial,No TP,Accept,beta_mu,0.05787903762554875,0.055987725695331524,-1.0048593672897685,1.149103288923347
modelC_hybrid,Model C: Hybrid RL + BMT features,PartialtickNoTimelimited,Partial,No TP,Accept,beta_sigma,0.45900607404365223,0.4552268104233135,-0.4045048658680591,1.3370348472298175
modelC_hybrid,Model C: Hybrid RL + BMT features,PartialtickNoTimelimited,Partial,No TP,Accept,gamma,-0.05107709608362333,-0.051054178353422984,-0.18302545412581522,0.08025454824937876
modelC_hybrid,Model C: Hybrid RL + BMT features,PartialtickTimelimited,Partial,TP,Accept,alpha,0.7138072369739226,0.7115980795830548,0.5846388208864243,0.8514532168824018
modelC_hybrid,Model C: Hybrid RL + BMT features,PartialtickTimelimited,Partial,TP,Accept,beta_Q,5.893350218780353,5.856147354125559,4.596339435571337,7.384258249246442
modelC_hybrid,Model C: Hybrid RL + BMT features,PartialtickTimelimited,Partial,TP,Accept,beta_mu,0.39549013221537194,0.3906695606739829,-0.792219968206567,1.550563274187153
modelC_hybrid,Model C: Hybrid RL + BMT features,PartialtickTimelimited,Partial,TP,Accept,beta_sigma,0.93182349544492,0.9353366960977776,-0.027290110423029406,1.8682260390046443
modelC_hybrid,Model C: Hybrid RL + BMT features,PartialtickTimelimited,Partial,TP,Accept,gamma,0.014796602385483418,0.015569157343260205,-0.12132397301481415,0.15129413987703016
