scope,compare_model,benchmark_model,task,n_obs,delta_top1,delta_elpd_loo,delta_elpd_waic
task,random_baseline,delta3_benchmark,PartialtickNoTimelimited,2240,-0.21562499999999996,-294.1143238684365,-294.9003881170647
task,random_baseline,delta3_benchmark,PartialtickTimelimited,2240,-0.23973214285714284,-333.6009670796086,-334.46367474866065
overall,random_baseline,old_original_benchmark,ALL_TASKS,19360,-0.14189049586776858,-1052.8777217677955,-1054.0380369584186
task,random_baseline,old_original_benchmark,FullcrossNoTimelimited,2600,-0.10423076923076924,-51.70520016030855,-51.79885958707882
task,random_baseline,old_original_benchmark,FullcrossTimelimited,2600,-0.11384615384615382,-82.42654320052475,-82.5274822389672
task,random_baseline,old_original_benchmark,FulltickNoTimelimited,2600,-0.11884615384615382,-63.71150484036275,-63.80146674076855
task,random_baseline,old_original_benchmark,FulltickTimelimited,2600,-0.12846153846153852,-84.15023655267441,-84.25726309520655
task,random_baseline,old_original_benchmark,PartialcrossNoTimelimited,2240,-0.1607142857142857,-183.0223270581364,-183.26366529702773
task,random_baseline,old_original_benchmark,PartialcrossTimelimited,2240,-0.1674107142857143,-154.32266543927153,-154.50226304313082
task,random_baseline,old_original_benchmark,PartialtickNoTimelimited,2240,-0.16607142857142854,-202.98710934172368,-203.17085233075386
task,random_baseline,old_original_benchmark,PartialtickTimelimited,2240,-0.1919642857142857,-230.55213517479342,-230.71618462548508
