changed_factor,contrast_label,fixed_context,task_plus,task_minus,parameter,diff_mean,diff_hdi95_lo,diff_hdi95_hi,hdi95_crosses_zero,posterior_tail_p
Time Pressure,TP - No TP,"Feedback=Partial, Frame=Reject",PartialcrossTimelimited,PartialcrossNoTimelimited,rho_risky,0.01697089722337012,-0.03250101093104298,0.07782383481540975,TRUE,0.5469999999999999
Time Pressure,TP - No TP,"Feedback=Partial, Frame=Reject",PartialcrossTimelimited,PartialcrossNoTimelimited,cf_contrib,0,0,0,TRUE,0
Feedback,Full - Partial,"TP=No TP, Frame=Accept",FulltickNoTimelimited,PartialtickNoTimelimited,beta_value,-3.7178465186725105,-4.8887226280258576,-2.6771060920198466,FALSE,0
Feedback,Full - Partial,"TP=No TP, Frame=Accept",FulltickNoTimelimited,PartialtickNoTimelimited,gamma,-0.04797969606251856,-0.17927179796431217,0.08011781152371836,TRUE,0.4985
Feedback,Full - Partial,"TP=No TP, Frame=Accept",FulltickNoTimelimited,PartialtickNoTimelimited,rho_risky,0.0540296523217947,0.0033372809771133344,0.11890601976096928,FALSE,0.03649999999999998
Feedback,Full - Partial,"TP=No TP, Frame=Accept",FulltickNoTimelimited,PartialtickNoTimelimited,cf_contrib,0.7839638567326551,0.6664983137167253,0.8920069197753693,FALSE,0
Feedback,Full - Partial,"TP=No TP, Frame=Reject",FullcrossNoTimelimited,PartialcrossNoTimelimited,beta_value,-1.6830632205079736,-2.617475379278408,-0.7689193188968974,FALSE,5e-4
Feedback,Full - Partial,"TP=No TP, Frame=Reject",FullcrossNoTimelimited,PartialcrossNoTimelimited,gamma,-0.20715763166129136,-0.34052909225730726,-0.07785783861626057,FALSE,0.0025
Feedback,Full - Partial,"TP=No TP, Frame=Reject",FullcrossNoTimelimited,PartialcrossNoTimelimited,rho_risky,0.036238058037795055,-0.012847588571977531,0.0929990185336469,TRUE,0.15500000000000003
Feedback,Full - Partial,"TP=No TP, Frame=Reject",FullcrossNoTimelimited,PartialcrossNoTimelimited,cf_contrib,0.7839638567326551,0.6664983137167253,0.8920069197753693,FALSE,0
Feedback,Full - Partial,"TP=TP, Frame=Accept",FulltickTimelimited,PartialtickTimelimited,beta_value,-3.7708821611194803,-4.982173681288398,-2.617830477570658,FALSE,0
Feedback,Full - Partial,"TP=TP, Frame=Accept",FulltickTimelimited,PartialtickTimelimited,gamma,0.04373400391884919,-0.09868051831833011,0.1829023694811959,TRUE,0.5365
Feedback,Full - Partial,"TP=TP, Frame=Accept",FulltickTimelimited,PartialtickTimelimited,rho_risky,0.062455263209237076,0.008522835636845019,0.13477078137959503,FALSE,0.016000000000000014
Feedback,Full - Partial,"TP=TP, Frame=Accept",FulltickTimelimited,PartialtickTimelimited,cf_contrib,0.7839638567326551,0.6664983137167253,0.8920069197753693,FALSE,0
Feedback,Full - Partial,"TP=TP, Frame=Reject",FullcrossTimelimited,PartialcrossTimelimited,beta_value,-1.1868544458333772,-2.018767045116466,-0.4263611948678039,FALSE,0.0025
Feedback,Full - Partial,"TP=TP, Frame=Reject",FullcrossTimelimited,PartialcrossTimelimited,gamma,-0.32574863893944167,-0.44814051463396587,-0.20242158877286234,FALSE,0
Feedback,Full - Partial,"TP=TP, Frame=Reject",FullcrossTimelimited,PartialcrossTimelimited,rho_risky,0.019098740545997275,-0.0342081044596763,0.06845435645304135,TRUE,0.4305000000000001
Feedback,Full - Partial,"TP=TP, Frame=Reject",FullcrossTimelimited,PartialcrossTimelimited,cf_contrib,0.7839638567326551,0.6664983137167253,0.8920069197753693,FALSE,0
